topic,sequence,date,type,packetPages,actualConversationPacketPages,hits,terms,title,pdf
"Ukraine / Nuclear Security","53","1997-05-27","Memcon","325-333","325-332","3","ukraine:1; nuclear weapons:1; nuclear:1","Meeting with President Boris Yeltsin of Russia, May 27, 1997, Paris, France","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-05-27-memcon-45.pdf"
"Ukraine / Nuclear Security","57","1997-11-22","Telcon","354-360","354-359","3","nuclear:3","Telephone call with President Boris Yeltsin of Russia, November 22, 1997, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-11-22-telcon-49.pdf"
"Ukraine / Nuclear Security","62","1998-05-17","Memcon","383-391","383-390","3","nuclear:3","Meeting with President Boris Yeltsin of Russia, May 17, 1998, Birmingham, England","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-17-memcon-54.pdf"
"Ukraine / Nuclear Security","73","1999-03-24","Telcon","440-445","440-444","3","nuclear weapons:1; nuclear:2","Telephone call with President Boris Yeltsin of Russia, March 24, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-03-24-telcon-68.pdf"
"Ukraine / Nuclear Security","24","1994-09-27","Memcon","126-133","126-132","2","trilateral:1; nuclear:1","Clinton-Yeltsin one-on-one memcon, September 27, 1994","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-white-house-one-on-one.pdf"
"Ukraine / Nuclear Security","28","1994-10-10","Telcon","156-160","156-159","2","ukraine:2","Telephone call with President Boris Yeltsin of Russia, October 10, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-10-clinton-yeltsin-iraq-telcon.pdf"
"Ukraine / Nuclear Security","69","1998-08-25","Telcon","422-426","422-425","2","nuclear weapons:1; nuclear:1","Telephone call with President Boris Yeltsin of Russia, August 25, 1998, Martha's Vineyard, Massachusetts","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-25-telcon-62.pdf"
"Ukraine / Nuclear Security","75","1999-04-25","Telcon","453-465","453-464","2","nuclear weapons:1; nuclear:1","Telephone call with President Boris Yeltsin of Russia, April 25, 1999, Washington, D.C.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-25-telcon-70.pdf"
"Ukraine / Nuclear Security","1","1993-01-23","Telcon","1-4","1-3","1","ukraine:1","Telephone call with President Boris Yeltsin of Russia, January 23, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-01-23-telcon-01.pdf"
"Ukraine / Nuclear Security","3","1993-04-03","Memcon","9-18","9-17","1","nuclear:1","Working Dinner with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-03-clinton-yeltsin-vancouver-working-dinner.pdf"
"Ukraine / Nuclear Security","8","1993-06-28","Telcon","41-45","41-44","1","nuclear:1","Telephone call with President Boris Yeltsin of Russia, June 28, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-06-28-telcon-08.pdf"
"Ukraine / Nuclear Security","36","1995-10-23","Memcon","219-224","219-223","1","ukraine:1","Lunch with Boris Yeltsin, President of Russian Federation","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-lunch.pdf"
"Ukraine / Nuclear Security","50","1997-03-21","Memcon","304-312","304-311","1","nuclear:1","Helsinki Working Lunch with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-working-lunch.pdf"
"Ukraine / Nuclear Security","54","1997-06-20","Memcon","334-342","334-341","1","ukraine:1","Meeting with President Boris Yeltsin of Russia, June 20, 1997, Denver, Colorado","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-06-20-memcon-46.pdf"
"Ukraine / Nuclear Security","55","1997-10-30","Telcon","343-349","343-348","1","nuclear:1","Telephone call with President Boris Yeltsin of Russia, October 30, 1997, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-10-30-telcon-47.pdf"
"Ukraine / Nuclear Security","56","1997-11-16","Telcon","350-353","350-352","1","nuclear:1","Telephone call with President Boris Yeltsin of Russia, November 16, 1997, Malibu, California","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-11-16-telcon-48.pdf"
"Ukraine / Nuclear Security","63","1998-05-21","Telcon","392-395","392-394","1","nuclear:1","Telephone call with President Boris Yeltsin of Russia, May 21, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-21-telcon-55.pdf"
"Ukraine / Nuclear Security","64","1998-05-28","Telcon","396-400","396-399","1","nuclear:1","Telephone call with President Boris Yeltsin of Russia, May 28, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-28-telcon-56.pdf"
"Arms Control / Nonproliferation","49","1997-03-21","Memcon","292-303","292-302","43","abm:20; start:17; missile:6","Helsinki Morning Meeting with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-morning.pdf"
"Arms Control / Nonproliferation","25","1994-09-27","Memcon","134-144","134-143","42","start:37; missile:2; biological weapons:3","Meeting with President Boris Yeltsin of Russia, September 27, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-expanded-security-session.pdf"
"Arms Control / Nonproliferation","82","1999-06-20","Memcon","494-503","494-502","38","abm:10; start:22; missile:4; nonproliferation:2","Meeting with President Boris Yeltsin of Russia, June 20, 1999, Cologne, Germany","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-20-memcon-77.pdf"
"Arms Control / Nonproliferation","17","1994-01-14","Memcon","94-101","94-101","30","abm:6; start:11; missile:4; nonproliferation:2; chemical weapons:5; biological weapons:2","Second Expanded Bilateral Session with President Boris Yeltsin of Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-second-expanded-bilateral-session.pdf"
"Arms Control / Nonproliferation","55","1997-10-30","Telcon","343-349","343-348","21","abm:1; start:20","Telephone call with President Boris Yeltsin of Russia, October 30, 1997, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-10-30-telcon-47.pdf"
"Arms Control / Nonproliferation","83","1999-09-08","Telcon","504-509","504-508","19","abm:6; start:8; missile:3; cfe:2","Telephone call with President Boris Yeltsin of Russia, September 8, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-09-08-telcon-78.pdf"
"Arms Control / Nonproliferation","61","1998-05-12","Telcon","377-382","377-381","13","start:7; missile:2; nonproliferation:1; chemical weapons:3","Telephone call with President Boris Yeltsin of Russia, May 12, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-12-telcon-53.pdf"
"Arms Control / Nonproliferation","31","1995-05-10","Memcon","171-187","171-186","12","start:11; cfe:1","Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf"
"Arms Control / Nonproliferation","84","1999-11-19","Memcon","510-517","510-516","12","abm:5; start:1; missile:3; cfe:3","Meeting with President Boris Yeltsin of Russia, November 19, 1999, Istanbul, Turkey","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-11-18-memcon-79.pdf"
"Arms Control / Nonproliferation","41","1996-04-21","Memcon","247-260","247-259","11","abm:2; start:5; missile:1; cfe:3","POTUS-Yeltsin One-on-One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-one-on-one.pdf"
"Arms Control / Nonproliferation","48","1997-02-27","Telcon","288-291","288-290","11","abm:3; start:8","Telephone call with President Boris Yeltsin of Russia, February 27, 1997, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-02-27-telcon-43.pdf"
"Arms Control / Nonproliferation","54","1997-06-20","Memcon","334-342","334-341","11","abm:2; start:8; missile:1","Meeting with President Boris Yeltsin of Russia, June 20, 1997, Denver, Colorado","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-06-20-memcon-46.pdf"
"Arms Control / Nonproliferation","53","1997-05-27","Memcon","325-333","325-332","10","abm:1; start:7; cfe:2","Meeting with President Boris Yeltsin of Russia, May 27, 1997, Paris, France","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-05-27-memcon-45.pdf"
"Arms Control / Nonproliferation","62","1998-05-17","Memcon","383-391","383-390","10","start:9; nonproliferation:1","Meeting with President Boris Yeltsin of Russia, May 17, 1998, Birmingham, England","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-17-memcon-54.pdf"
"Arms Control / Nonproliferation","38","1996-02-21","Telcon","231-235","231-234","9","abm:4; start:5","Telephone call with President Boris Yeltsin of Russia, February 21, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-02-21-telcon-34.pdf"
"Arms Control / Nonproliferation","72","1998-12-30","Telcon","435-439","435-439","9","start:6; cfe:3","Telephone call with President Boris Yeltsin of Russia, December 30, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-12-30-clinton-yeltsin-telcon-actual-pages.pdf"
"Arms Control / Nonproliferation","4","1993-04-04","Memcon","19-31","19-30","8","abm:1; start:4; nonproliferation:1; chemical weapons:1; biological weapons:1","Meeting with Russian President Boris Yeltsin on Security Issues","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf"
"Arms Control / Nonproliferation","60","1998-04-06","Telcon","371-376","371-375","8","start:5; missile:3","Telephone call with President Boris Yeltsin of Russia, April 6, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-04-06-telcon-52.pdf"
"Arms Control / Nonproliferation","32","1995-06-17","Memcon","188-195","188-195","7","abm:1; start:4; cfe:2","Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf"
"Arms Control / Nonproliferation","57","1997-11-22","Telcon","354-360","354-359","7","start:3; missile:4","Telephone call with President Boris Yeltsin of Russia, November 22, 1997, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-11-22-telcon-49.pdf"
"Arms Control / Nonproliferation","8","1993-06-28","Telcon","41-45","41-44","6","missile:6","Telephone call with President Boris Yeltsin of Russia, June 28, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-06-28-telcon-08.pdf"
"Arms Control / Nonproliferation","29","1995-02-13","Telcon","161-165","161-164","6","start:6","Telephone call with President Boris Yeltsin of Russia, February 13, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-02-13-telcon-26.pdf"
"Arms Control / Nonproliferation","59","1998-02-23","Telcon","366-370","366-369","6","start:6","Telephone call with President Boris Yeltsin of Russia, February 23, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-02-23-telcon-51.pdf"
"Arms Control / Nonproliferation","35","1995-10-23","Memcon","206-218","206-217","5","start:3; cfe:2","Clinton-Yeltsin One-on-One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf"
"Arms Control / Nonproliferation","40","1996-04-09","Telcon","241-246","241-245","5","abm:3; cfe:2","Telephone call with President Boris Yeltsin of Russia, April 9, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-09-telcon-36.pdf"
"Arms Control / Nonproliferation","3","1993-04-03","Memcon","9-18","9-17","4","start:4","Working Dinner with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-03-clinton-yeltsin-vancouver-working-dinner.pdf"
"Arms Control / Nonproliferation","30","1995-04-27","Telcon","166-170","166-169","4","abm:1; start:2; missile:1","Telephone call with President Boris Yeltsin of Russia, April 27, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-04-27-telcon-27.pdf"
"Arms Control / Nonproliferation","34","1995-09-27","Telcon","202-205","202-204","4","cfe:4","Telephone call with President Boris Yeltsin of Russia, September 27, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-09-27-telcon-31.pdf"
"Arms Control / Nonproliferation","37","1996-01-26","Telcon","225-230","225-229","4","start:4","Telephone call with President Boris Yeltsin of Russia, January 26, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-01-26-telcon-33.pdf"
"Arms Control / Nonproliferation","43","1996-05-07","Telcon","269-273","269-272","4","cfe:4","Telephone call with President Boris Yeltsin of Russia, May 7, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-05-07-telcon-38.pdf"
"Arms Control / Nonproliferation","51","1997-03-21","Memcon","313-317","313-316","4","start:4","Helsinki Afternoon Meeting with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-afternoon.pdf"
"Arms Control / Nonproliferation","65","1998-06-15","Telcon","401-406","401-405","4","start:4","Telephone call with President Boris Yeltsin of Russia, June 15, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-15-telcon-57.pdf"
"Arms Control / Nonproliferation","1","1993-01-23","Telcon","1-4","1-3","3","start:3","Telephone call with President Boris Yeltsin of Russia, January 23, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-01-23-telcon-01.pdf"
"Arms Control / Nonproliferation","9","1993-07-10","Memcon","46-55","46-54","3","start:1; missile:1; biological weapons:1","Meeting with President Boris Yeltsin of Russia, July 10, 1993, Tokyo, Japan","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-07-10-memcon-09.pdf"
"Arms Control / Nonproliferation","16","1994-01-14","Memcon","91-93","91-93","3","start:2; nonproliferation:1","Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-trilateral-yeltsin-kravchuk.pdf"
"Arms Control / Nonproliferation","22","1994-06-13","Telcon","117-121","117-120","3","start:2; nonproliferation:1","Telephone Call with President Boris Yeltsin of Russia, June 13, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-06-13-telcon-20.pdf"
"Arms Control / Nonproliferation","24","1994-09-27","Memcon","126-133","126-132","3","start:1; cfe:2","Clinton-Yeltsin one-on-one memcon, September 27, 1994","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-white-house-one-on-one.pdf"
"Arms Control / Nonproliferation","42","1996-04-21","Memcon","261-268","261-267","3","abm:1; start:1; cfe:1","Luncheon Meeting with Russian President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-luncheon.pdf"
"Arms Control / Nonproliferation","52","1997-03-21","Memcon","318-324","318-323","3","missile:3","Helsinki Private Dinner with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-private-dinner.pdf"
"Arms Control / Nonproliferation","69","1998-08-25","Telcon","422-426","422-425","3","missile:2; chemical weapons:1","Telephone call with President Boris Yeltsin of Russia, August 25, 1998, Martha's Vineyard, Massachusetts","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-25-telcon-62.pdf"
"Arms Control / Nonproliferation","10","1993-09-07","Telcon","56-60","56-59","2","start:2","Telephone call with President Boris Yeltsin of Russia, September 7, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-07-telcon-10.pdf"
"Arms Control / Nonproliferation","45","1996-07-05","Telcon","277-280","277-279","2","start:2","Telephone call with President Boris Yeltsin of Russia, July 5, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-07-05-telcon-40.pdf"
"Arms Control / Nonproliferation","56","1997-11-16","Telcon","350-353","350-352","2","chemical weapons:1; biological weapons:1","Telephone call with President Boris Yeltsin of Russia, November 16, 1997, Malibu, California","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-11-16-telcon-48.pdf"
"Arms Control / Nonproliferation","63","1998-05-21","Telcon","392-395","392-394","2","start:1; missile:1","Telephone call with President Boris Yeltsin of Russia, May 21, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-21-telcon-55.pdf"
"Arms Control / Nonproliferation","67","1998-07-10","Telcon","410-414","410-413","2","missile:2","Telephone call with President Boris Yeltsin of Russia, July 10, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-07-10-telcon-60.pdf"
"Arms Control / Nonproliferation","14","1994-01-13","Memcon","74-79","74-79","1","start:1","One-on-One Meeting with President Boris Yeltsin of Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-memcon-one-on-one.pdf"
"Arms Control / Nonproliferation","15","1994-01-13","Memcon","80-90","80-90","1","start:1","President's dinner with President Yeltsin, January 13/14, 1994","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-yeltsin-dinner-cable.pdf"
"Arms Control / Nonproliferation","26","1994-09-28","Memcon","145-150","145-150","1","start:1","Second Clinton/Yeltsin One-on-One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-09-28-second-one-on-one.pdf"
"Arms Control / Nonproliferation","58","1998-02-02","Telcon","361-365","361-364","1","missile:1","Telephone call with President Boris Yeltsin of Russia, February 2, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-02-02-telcon-50.pdf"
"Arms Control / Nonproliferation","73","1999-03-24","Telcon","440-445","440-444","1","start:1","Telephone call with President Boris Yeltsin of Russia, March 24, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-03-24-telcon-68.pdf"
"Arms Control / Nonproliferation","75","1999-04-25","Telcon","453-465","453-464","1","start:1","Telephone call with President Boris Yeltsin of Russia, April 25, 1999, Washington, D.C.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-25-telcon-70.pdf"
"Arms Control / Nonproliferation","85","1999-12-31","Telcon","518-521","518-520","1","chemical weapons:1","Telephone call with President Boris Yeltsin of Russia, December 31, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-12-31-telcon-80.pdf"
"Economic Reform / Assistance","14","1994-01-13","Memcon","74-79","74-79","28","economic:4; reform:11; imf:1; assistance:4; aid:3; privatization:2; g-7:3","One-on-One Meeting with President Boris Yeltsin of Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-memcon-one-on-one.pdf"
"Economic Reform / Assistance","13","1993-12-22","Telcon","69-73","69-72","19","economic:6; reform:6; imf:1; assistance:4; g-7:2","Telephone call with President Boris Yeltsin of Russia, December 22, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-12-22-telcon-13.pdf"
"Economic Reform / Assistance","3","1993-04-03","Memcon","9-18","9-17","18","economic:5; reform:3; loan:1; assistance:2; ruble:2; privatization:1; g-7:4","Working Dinner with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-03-clinton-yeltsin-vancouver-working-dinner.pdf"
"Economic Reform / Assistance","4","1993-04-04","Memcon","19-31","19-30","17","economic:8; assistance:2; aid:2; g-7:5","Meeting with Russian President Boris Yeltsin on Security Issues","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf"
"Economic Reform / Assistance","8","1993-06-28","Telcon","41-45","41-44","17","economic:1; imf:2; assistance:2; aid:2; privatization:1; g-7:9","Telephone call with President Boris Yeltsin of Russia, June 28, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-06-28-telcon-08.pdf"
"Economic Reform / Assistance","42","1996-04-21","Memcon","261-268","261-267","17","economic:2; reform:2; ruble:1; privatization:1; g-7:11","Luncheon Meeting with Russian President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-luncheon.pdf"
"Economic Reform / Assistance","64","1998-05-28","Telcon","396-400","396-399","15","economic:4; reform:5; imf:6","Telephone call with President Boris Yeltsin of Russia, May 28, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-28-telcon-56.pdf"
"Economic Reform / Assistance","72","1998-12-30","Telcon","435-439","435-439","15","economic:5; reform:4; imf:6","Telephone call with President Boris Yeltsin of Russia, December 30, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-12-30-clinton-yeltsin-telcon-actual-pages.pdf"
"Economic Reform / Assistance","29","1995-02-13","Telcon","161-165","161-164","12","economic:1; reform:9; assistance:1; privatization:1","Telephone call with President Boris Yeltsin of Russia, February 13, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-02-13-telcon-26.pdf"
"Economic Reform / Assistance","68","1998-08-14","Telcon","415-421","415-420","11","economic:5; imf:5; loan:1","Telephone call with President Boris Yeltsin of Russia, August 14, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-14-telcon-61.pdf"
"Economic Reform / Assistance","31","1995-05-10","Memcon","171-187","171-186","10","economic:4; reform:1; assistance:1; aid:2; g-7:2","Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf"
"Economic Reform / Assistance","50","1997-03-21","Memcon","304-312","304-311","9","economic:5; imf:2; assistance:1; aid:1","Helsinki Working Lunch with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-working-lunch.pdf"
"Economic Reform / Assistance","70","1998-09-12","Telcon","427-431","427-430","8","economic:4; reform:2; imf:1; ruble:1","Telephone call with President Boris Yeltsin of Russia, September 12, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-09-12-telcon-64.pdf"
"Economic Reform / Assistance","10","1993-09-07","Telcon","56-60","56-59","7","economic:2; reform:2; assistance:1; aid:1; g-7:1","Telephone call with President Boris Yeltsin of Russia, September 7, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-07-telcon-10.pdf"
"Economic Reform / Assistance","11","1993-09-21","Telcon","61-64","61-63","7","reform:5; assistance:1; aid:1","Telephone call with President Boris Yeltsin of Russia, September 21, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-21-telcon-11.pdf"
"Economic Reform / Assistance","18","1994-01-15","Memcon","102-103","102-103","7","economic:2; imf:1; aid:1; g-7:3","One-on-One Meeting with President Boris Yeltsin of Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-15-memcon-one-on-one.pdf"
"Economic Reform / Assistance","37","1996-01-26","Telcon","225-230","225-229","7","reform:5; imf:2","Telephone call with President Boris Yeltsin of Russia, January 26, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-01-26-telcon-33.pdf"
"Economic Reform / Assistance","67","1998-07-10","Telcon","410-414","410-413","7","economic:1; reform:1; imf:5","Telephone call with President Boris Yeltsin of Russia, July 10, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-07-10-telcon-60.pdf"
"Economic Reform / Assistance","75","1999-04-25","Telcon","453-465","453-464","7","economic:1; assistance:5; aid:1","Telephone call with President Boris Yeltsin of Russia, April 25, 1999, Washington, D.C.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-25-telcon-70.pdf"
"Economic Reform / Assistance","82","1999-06-20","Memcon","494-503","494-502","7","economic:4; reform:1; imf:2","Meeting with President Boris Yeltsin of Russia, June 20, 1999, Cologne, Germany","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-20-memcon-77.pdf"
"Economic Reform / Assistance","54","1997-06-20","Memcon","334-342","334-341","6","economic:5; reform:1","Meeting with President Boris Yeltsin of Russia, June 20, 1997, Denver, Colorado","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-06-20-memcon-46.pdf"
"Economic Reform / Assistance","15","1994-01-13","Memcon","80-90","80-90","5","economic:3; ruble:1; g-7:1","President's dinner with President Yeltsin, January 13/14, 1994","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-yeltsin-dinner-cable.pdf"
"Economic Reform / Assistance","24","1994-09-27","Memcon","126-133","126-132","5","economic:3; privatization:1; g-7:1","Clinton-Yeltsin one-on-one memcon, September 27, 1994","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-white-house-one-on-one.pdf"
"Economic Reform / Assistance","28","1994-10-10","Telcon","156-160","156-159","5","g7:5","Telephone call with President Boris Yeltsin of Russia, October 10, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-10-clinton-yeltsin-iraq-telcon.pdf"
"Economic Reform / Assistance","43","1996-05-07","Telcon","269-273","269-272","5","economic:1; imf:3; loan:1","Telephone call with President Boris Yeltsin of Russia, May 7, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-05-07-telcon-38.pdf"
"Economic Reform / Assistance","51","1997-03-21","Memcon","313-317","313-316","5","economic:2; reform:1; g-7:2","Helsinki Afternoon Meeting with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-afternoon.pdf"
"Economic Reform / Assistance","1","1993-01-23","Telcon","1-4","1-3","4","economic:2; assistance:1; aid:1","Telephone call with President Boris Yeltsin of Russia, January 23, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-01-23-telcon-01.pdf"
"Economic Reform / Assistance","9","1993-07-10","Memcon","46-55","46-54","4","economic:2; aid:1; g-7:1","Meeting with President Boris Yeltsin of Russia, July 10, 1993, Tokyo, Japan","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-07-10-memcon-09.pdf"
"Economic Reform / Assistance","17","1994-01-14","Memcon","94-101","94-101","4","economic:2; reform:1; assistance:1","Second Expanded Bilateral Session with President Boris Yeltsin of Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-second-expanded-bilateral-session.pdf"
"Economic Reform / Assistance","21","1994-04-20","Telcon","112-116","112-115","4","economic:4","Telephone call with President Boris Yeltsin of Russia, April 20, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-20-telcon-18.pdf"
"Economic Reform / Assistance","27","1994-10-05","Telcon","151-155","151-154","4","economic:3; aid:1","Telephone call with President Boris Yeltsin, October 5, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-10-05-telcon-24.pdf"
